Tm,Tm_pred,Tg,Tg_pred,model_id,model
163.0,156.21292,,47.32552,1,MPNN_RBF_dblPm
163.0,156.15211,,47.31697,1,MPNN_RBF_dblPm
163.0,156.42471,,47.352512,1,MPNN_RBF_dblPm
163.0,156.54703,,47.41299,1,MPNN_RBF_dblPm
176.0,170.0111,,49.905468,1,MPNN_RBF_dblPm
176.0,170.0059,,49.89281,1,MPNN_RBF_dblPm
176.0,170.19232,,49.879837,1,MPNN_RBF_dblPm
176.0,170.03421,,49.902378,1,MPNN_RBF_dblPm
176.0,170.0059,,49.892815,1,MPNN_RBF_dblPm
183.0,176.38292,,50.364246,1,MPNN_RBF_dblPm
183.0,175.66666,,49.66572,1,MPNN_RBF_dblPm
183.0,177.22354,,51.196655,1,MPNN_RBF_dblPm
183.0,176.46645,,50.44565,1,MPNN_RBF_dblPm
183.0,177.0535,,51.02543,1,MPNN_RBF_dblPm
189.0,191.88,,56.081085,1,MPNN_RBF_dblPm
192.0,191.88,,56.081085,1,MPNN_RBF_dblPm
192.0,191.84764,,55.936024,1,MPNN_RBF_dblPm
189.0,191.94635,,56.176094,1,MPNN_RBF_dblPm
192.0,191.81334,,55.79563,1,MPNN_RBF_dblPm
192.0,191.87563,,55.88626,1,MPNN_RBF_dblPm
189.0,192.08273,,57.06948,1,MPNN_RBF_dblPm
192.0,191.82253,,55.67469,1,MPNN_RBF_dblPm
192.0,191.986,,56.408478,1,MPNN_RBF_dblPm
189.0,191.82253,,55.67469,1,MPNN_RBF_dblPm
192.0,192.035,,56.73087,1,MPNN_RBF_dblPm
192.0,191.90729,,56.233624,1,MPNN_RBF_dblPm
189.0,191.99768,,56.48747,1,MPNN_RBF_dblPm
192.0,191.89255,,55.956413,1,MPNN_RBF_dblPm
192.0,191.74197,,55.513954,1,MPNN_RBF_dblPm
199.0,201.51773,,57.119915,1,MPNN_RBF_dblPm
199.0,201.51965,,57.091606,1,MPNN_RBF_dblPm
199.0,201.62036,,57.489437,1,MPNN_RBF_dblPm
199.0,201.5062,,56.924824,1,MPNN_RBF_dblPm
199.0,201.51167,,56.952217,1,MPNN_RBF_dblPm
207.0,208.02742,,58.386047,1,MPNN_RBF_dblPm
207.0,208.02742,,58.386047,1,MPNN_RBF_dblPm
207.0,208.02742,,58.386044,1,MPNN_RBF_dblPm
207.0,207.22174,,57.982807,1,MPNN_RBF_dblPm
207.0,208.02742,,58.386047,1,MPNN_RBF_dblPm
133.0,120.28823,,-2.3364468,1,MPNN_RBF_dblPm
133.0,120.299255,,-2.3376617,1,MPNN_RBF_dblPm
133.0,120.02375,,-2.323058,1,MPNN_RBF_dblPm
133.0,120.28822,,-2.336464,1,MPNN_RBF_dblPm
133.0,120.20348,,-2.3314886,1,MPNN_RBF_dblPm
153.0,154.79251,,6.280292,1,MPNN_RBF_dblPm
153.0,155.0292,,6.4388547,1,MPNN_RBF_dblPm
153.0,155.0292,,6.4388556,1,MPNN_RBF_dblPm
153.0,154.79251,,6.280294,1,MPNN_RBF_dblPm
153.0,154.79251,,6.280291,1,MPNN_RBF_dblPm
170.0,170.853,,7.698635,1,MPNN_RBF_dblPm
171.0,170.853,,7.6986337,1,MPNN_RBF_dblPm
172.0,170.85301,,7.6986327,1,MPNN_RBF_dblPm
170.0,170.85301,,7.698632,1,MPNN_RBF_dblPm
171.0,169.35356,,7.6028447,1,MPNN_RBF_dblPm
172.0,169.35356,,7.6028457,1,MPNN_RBF_dblPm
170.0,169.35356,,7.6028447,1,MPNN_RBF_dblPm
171.0,170.853,,7.698632,1,MPNN_RBF_dblPm
172.0,169.35356,,7.6028447,1,MPNN_RBF_dblPm
170.0,169.35356,,7.6028447,1,MPNN_RBF_dblPm
171.0,169.35356,,7.6028447,1,MPNN_RBF_dblPm
172.0,170.853,,7.6986327,1,MPNN_RBF_dblPm
170.0,169.35356,,7.6028447,1,MPNN_RBF_dblPm
171.0,170.85301,,7.6986337,1,MPNN_RBF_dblPm
172.0,169.35356,,7.6028438,1,MPNN_RBF_dblPm
,68.96263,6.0,15.60665,1,MPNN_RBF_dblPm
,68.95667,6.0,15.589096,1,MPNN_RBF_dblPm
,68.95085,6.0,15.571375,1,MPNN_RBF_dblPm
,68.96854,6.0,15.624157,1,MPNN_RBF_dblPm
,68.95546,6.0,15.582326,1,MPNN_RBF_dblPm
,72.97033,-9.0,-10.584315,1,MPNN_RBF_dblPm
,72.89995,-9.0,-10.604204,1,MPNN_RBF_dblPm
,72.89996,-9.0,-10.604198,1,MPNN_RBF_dblPm
,72.97687,-9.0,-10.5759,1,MPNN_RBF_dblPm
,72.93564,-9.0,-10.594069,1,MPNN_RBF_dblPm
,66.593,-13.0,-11.1227045,1,MPNN_RBF_dblPm
,66.360176,-13.0,-10.974118,1,MPNN_RBF_dblPm
,66.637184,-13.0,-11.137527,1,MPNN_RBF_dblPm
,66.36023,-13.0,-10.974175,1,MPNN_RBF_dblPm
